dc,Station Number,Station Name,Latitude,Longitude,Height above MSL,Month Day Year in YYYY-MM-DD format,Precipitation in the 24 hours before 9am (local time) in mm,Quality of precipitation value,Number of days of rain within the days of accumulation,Accumulated number of days over which the precipitation was measured,Maximum temperature in 24 hours after 9am (local time) in Degrees C,Quality of maximum temperature in 24 hours after 9am (local time),Days of accumulation of maximum temperature,Minimum temperature in 24 hours before 9am (local time) in Degrees C,Quality of minimum temperature in 24 hours before 9am (local time),Days of accumulation of minimum temperature,Average daily dew point temperature in Degrees C,Quality of overall dew point temperature observations used,Relative humidity for observation at 09 hours Local Time in percentage %,Quality of relative humidity for observation at 09 hours Local Time,Relative humidity for observation at 15 hours Local Time in percentage %,Quality of relative humidity for observation at 15 hours Local Time,Wind speed at 09 hours Local Time measured in km/h,Quality of wind speed at 09 hours Local Time,Wind speed at 15 hours Local Time measured in km/h,Quality of wind speed at 15 hours Local Time,Wind direction at 09 hours Local Time as 16 compass point text,Quality of wind direction at 09 hours Local Time,Wind direction at 15 hours Local Time as 16 compass point text,Quality of wind direction at 15 hours Local Time,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-10-21,      , ,  ,  , 32.0,Y,  ,     , ,  , 22.7,Y,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-10-22,   0.2,N,  , 1, 33.0,Y,  , 22.0,Y,  , 22.3,Y, 66,Y, 63,Y, 14.8,Y, 29.5,Y,NE   ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-10-23,   0.0,N,  ,  , 32.0,Y,  , 22.0,Y,  , 22.3,Y, 66,Y, 66,Y, 11.2,Y, 29.5,Y,NE   ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-10-24,   0.0,N,  ,  , 32.0,Y,  , 23.0,Y,  , 22.8,Y, 69,Y, 64,Y, 11.2,Y, 29.5,Y,NNW  ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-10-25,   0.0,N,  ,  ,     , ,  , 23.0,Y,  , 22.8,Y, 66,Y, 56,Y, 11.2,Y, 29.5,Y,E    ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-10-26,      , ,  ,  , 34.0,Y,  ,     , ,  , 23.8,Y,   , , 67,Y,     , , 29.5,Y,     , ,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-10-27,   0.0,N,  ,  , 35.0,Y,  , 24.0,Y,  , 23.1,Y, 59,Y, 53,Y, 14.8,Y, 25.9,Y,SE   ,Y,NNE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-10-28,   0.0,N,  ,  , 35.0,Y,  , 24.0,Y,  , 23.2,Y, 65,Y, 53,Y,  9.4,Y, 20.5,Y,SSE  ,Y,NNE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-10-29,   0.0,N,  ,  , 32.0,Y,  , 24.0,Y,  , 23.5,Y, 64,Y, 68,Y, 14.8,Y, 22.3,Y,NNE  ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-10-30,   0.0,N,  ,  , 33.0,Y,  , 25.0,Y,  , 23.6,Y, 72,Y, 65,Y, 11.2,Y, 24.1,Y,N    ,Y,N    ,Y,#
